YBR047w YER022w
YBR047w YJL128c
YBR048w YDR450w
YBR050c YDR028c
YBR050c YER133w
YBR052c YDR032c
YBR054w YJR091c
YBR055c YDL064w
YBR055c YDR028c
YBR055c YPR082c
YBR056w YFR007w
YBR057c YCL055w
YBR057c YDR206w
YBR057c YGL192w
YBR057c YJL099w
YBR058c YGR268c
YBR058c YOL132w
YBR058c YOL156w
YBR058c YOR123c
YBR059c YCL032w
YBR059c YGL213c
YBR059c YJL039c
YBR059c YML014w
YBR059c YMR144w
YBR060c YDL017w
YBR060c YLR103c
YBR061c YBR300c
YBR061c YER028c
YBR061c YGR182c
YBR061c YGR195w
YBR061c YGR219w
YBR061c YGR235c
YBR061c YGR277c
YBR061c YHR008c
YBR061c YHR022c
YBR061c YHR026w
YBR061c YHR058c
YBR061c YHR059w
YBR061c YJL097w
YBR061c YJL140w
YBR064w YJL159w
YBR065c YER081w
YBR066c YJR091c
YBR067c YPR138c
YBR068c YJL129c
YBR068c YKR050w
YBR069c YOL109w
YBR072w YDL239c
YBR072w YML064c
YBR073w YER179w
YBR074w YER081w
YBR074w YJR091c
YBR076w YJR091c
YBR077c YGR201c
YBR077c YKR007w
YBR077c YLR229c
YBR077c YMR004w
YBR079c YMR309c
YBR079c YNL243w
YBR081c YBR198c
YBR081c YDR167w
YBR081c YGL112c
YBR081c YGR252w
YBR081c YHR099w
YBR081c YMR236w
YBR081c YNL236w
YBR081c YOL148c
YBR081c YOR290c
YBR081c YPL031c
YBR081c YPL254w
YBR082c YDR059c
YBR082c YDR177w
YBR082c YGR229c
YBR082c YJR075w
YBR082c YLR342w
YBR082c YMR078c
YBR083w YHR084w
YBR083w YKL043w
YBR084c-a YNL298w
YBR085w YDL143w
YBR085w YDR129c
YBR087w YBR088c
YBR087w YDR328c
YBR087w YER173w
YBR087w YJR068w
YBR087w YLR390w
YBR088c YJR043c
YBR089w YGL070c
YBR090c YER158c
YBR091c YEL020w-a
YBR091c YHR005c-a
YBR091c YOR334w
YBR093c YCL061c
YBR093c YKR106w
YBR093c YNL192w
YBR094w YBR194w
YBR094w YDL102w
YBR094w YDL162c
YBR094w YDR363w
YBR094w YER019w
YBR094w YER041w
YBR094w YGL127c
YBR094w YJR043c
YBR094w YLR234w
YBR094w YLR373c
YBR094w YML028w
YBR094w YMR038c
YBR094w YMR190c
YBR094w YNL153c
YBR094w YNL297c
YBR094w YOR001w
YBR094w YOR144c
YBR094w YOR167c
YBR094w YPL024w
YBR095c YDR388w
YBR095c YLR418c
YBR095c YNL298w
YBR096w YIL034c
YBR097w YBR288c
YBR098w YDL102w
YBR098w YDR363w
YBR098w YHR016c
YBR098w YJR057w
YBR098w YLR103c
YBR098w YLR235c
YBR098w YMR190c
YBR098w YOL006c
YBR098w YPL024w
YBR099c YDR363w
YBR099c YER133w
YBR099c YJL092w
YBR099c YJR063w
YBR101c YHL021c
YBR101c YKL171w
YBR101c YLL062c
YBR101c YLR194c
YBR101c YMR173w
YBR101c YOL011w
YBR102c YDR166c
YBR102c YGL233w
YBR102c YLR166c
YBR102c YLR423c
YBR103w YCR077c
YBR103w YDR227w
YBR103w YEL003w
YBR103w YGL178w
YBR103w YGL236c
YBR103w YGR078c
YBR103w YGR239c
YBR103w YHL004w
YBR103w YIL112w
YBR103w YJL168c
YBR103w YJR141w
YBR103w YLR418c
YBR103w YMR263w
YBR103w YNL153c
YBR103w YPL181w
YBR103w YPR141c
YBR105c YMR047c
YBR106w YKL002w
YBR107c YDR254w
YBR107c YER016w
YBR107c YGL070c
YBR107c YGR078c
YBR107c YJL030w
YBR107c YNL153c
YBR107c YPL018w
YBR107c YPR135w
YBR107c YPR141c
YBR108w YCR009c
YBR108w YDR388w
YBR108w YGR078c
YBR108w YGR136w
YBR108w YLR438c-a
YBR108w YML094w
YBR108w YNL153c
YBR109c YCR065w
YBR109c YDR356w
YBR109c YFR014c
YBR109c YHR030c
YBR109c YLR433c
YBR109c YML057w
YBR109c YMR109w
YBR109c YOL016c
YBR109c YOR326w
YBR110w YDL055c
YBR112c YCR084c
YBR112c YDL194w
YBR112c YDR043c
YBR112c YDR477w
YBR112c YIL061c
YBR112c YMR240c
YBR112c YOR140w
YBR113w YDL043c
YBR114w YGR078c
YBR114w YIR009w
YBR114w YJR052w
YBR114w YLR200w
YBR117c YIL061c
YBR118w YLR249w
YBR119w YLR449w
YBR119w YML016c
YBR119w YNL227c
YBR120c YJR082c
YBR121c YHR007c
YBR121c YLR330w
YBR121c YNL192w
YBR122c YEL061c
YBR122c YJR091c
YBR122c YLR447c
YBR122c YMR078c
YBR123c YGR047c
YBR123c YOR110w
YBR124w YLR288c
YBR126c YCR009c
YBR126c YDL022w
YBR126c YDR074w
YBR126c YDR388w
YBR126c YGL035c
YBR126c YGL253w
